HJD MAX+2400000;E;O-C;ADS;AAVSO;BAV;CDB;GEOS;KWS;ASASSN;type;source;observer;reference
50826.8700;1020;-0.38;;-0.38;;;;;;un.;AAVSO;un.;Berdnikov 2003
50842.6000;1022;-0.47;;;-0.47;;;;;vis;BAV;Meyer R.;BAV database
51182.9400;1065;-0.43;-0.43;;-0.43;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
51182.9400;1065;-0.43;;-0.43;;;;;;un.;AAVSO;un.;Berdnikov 2003
51214.5800;1069;-0.44;;-0.44;;;;;;vis;AAVSO;Lowder;AAVSO this paper
51222.2900;1070;-0.64;;;-0.64;;;;;vis;BAV;Sturm A.;BAV database
51230.4900;1071;-0.36;;-0.36;;;;;;vis;AAVSO;Lowder;AAVSO this paper
51254.3800;1074;-0.21;;;-0.21;;;;;vis;BAV;Meyer R.;BAV database
51309.5600;1081;-0.43;;-0.43;;;;;;vis;AAVSO;Lowder;AAVSO this paper
51815.8300;1145;-0.64;-0.64;;-0.64;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
51815.8300;1145;-0.64;;-0.64;;;;;;un.;AAVSO;un.;Berdnikov 2003
51910.5600;1157;-0.87;;;-0.87;;;;;vis;BAV;Meyer R.;BAV database
52694.2900;1256;-0.61;;;-0.61;;;;;vis;BAV;Sturm A.;BAV database
52718.3200;1259;-0.32;;;-0.32;;;;;vis;BAV;Meyer R.;BAV database
52836.7000;1274;-0.65;-0.65;-0.65;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
53058.5700;1302;-0.36;;;;;;;-0.36;V;ASASSN;ASAS;ASAS-SN data set
53446.3000;1351;-0.41;;;-0.41;;;;;vis;BAV;Sturm A.;BAV database
53667.7000;1379;-0.59;;;-0.59;;;;;vis;BAV;Meyer R.;OEJV 0051
54126.4700;1437;-0.82;;-0.82;;;;;;vis;AAVSO;Correia;AAVSO this paper
54126.5700;1437;-0.72;;;;;;;-0.72;V;ASASSN;ASAS;ASAS-SN data set
54229.3700;1450;-0.80;;-0.80;;;;;;vis;AAVSO;Correia;AAVSO this paper
54363.8900;1467;-0.81;;;;;;;-0.81;V;ASASSN;ASAS;ASAS-SN data set
54498.5000;1484;-0.74;;-0.74;;;;;;vis;AAVSO;Correia;AAVSO this paper
54506.2900;1485;-0.86;;;-0.86;;;;;vis;BAV;Sturm A.;OEJV 0097
54933.5100;1539;-0.99;;;;;;;-0.99;V;ASASSN;ASAS;ASAS-SN data set
54997.0300;1547;-0.78;;;;;-0.78;;;vis;GEOS;Kuchto;GEOS this paper
55297.6700;1585;-0.86;;-0.86;;;;;;V;AAVSO;Henden;AAVSO this paper
55535.2000;1615;-0.74;;;;;;-0.74;;V;KWS;KWS;KWS this paper
55867.3100;1657;-1.01;;;;;;-1.01;;V;KWS;KWS;KWS this paper
56357.9800;1719;-1.00;;;;;;-1.00;;V;KWS;KWS;KWS this paper
56762.3000;1770;-0.28;;;-0.28;;;;;vis;BAV;un.;BAV database
57411.1140;1852;-0.40;;;;;-0.40;;;vis;GEOS;Kuchto;GEOS this paper
57695.2400;1888;-1.17;;;;;;-1.17;;V;KWS;KWS;KWS this paper
57774.4500;1898;-1.09;;-1.09;;;;;;vis;AAVSO;Correia;AAVSO this paper
57837.4900;1906;-1.36;;-1.36;;;;;;vis;AAVSO;Correia;AAVSO this paper
57853.3600;1908;-1.32;;-1.32;;;;;;vis;AAVSO;Correia;AAVSO this paper
